City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,2.73,93,100,2.57,US,1675222061
1,severo-kurilsk,50.6789,156.125,-3.59,52,63,1.55,RU,1675222061
2,kapaa,22.0752,-159.319,25.99,83,20,4.12,US,1675222062
3,bethel,41.3712,-73.414,-1.25,60,75,2.06,US,1675221981
4,roura,4.7263,-52.3274,22.95,100,0,0.51,GF,1675222062
5,cape town,-33.9258,18.4232,22.43,81,20,5.66,ZA,1675221913
6,fountain hills,33.6117,-111.7174,13.05,61,0,1.54,US,1675222063
7,punta arenas,-53.15,-70.9167,12.06,62,75,7.72,CL,1675222063
8,rikitea,-23.1203,-134.9692,26.23,69,4,6.32,PF,1675221799
9,ushuaia,-54.8,-68.3,13.81,51,40,6.17,AR,1675222064
10,huaicheng,23.9051,112.1931,20.39,59,68,0.44,CN,1675222064
11,busselton,-33.65,115.3333,24.4,38,0,5.75,AU,1675222064
12,sohag,26.557,31.6948,9.36,61,2,2.69,EG,1675222064
13,tasiilaq,65.6145,-37.6368,-11.91,73,97,3.14,GL,1675222065
14,dikson,73.5069,80.5464,-24.36,93,23,3.69,RU,1675222065
15,awassa,7.05,38.4667,14.74,60,48,1.34,ET,1675222066
16,bredasdorp,-34.5322,20.0403,18.22,95,12,1.99,ZA,1675222066
17,chuy,-33.6971,-53.4616,21.33,92,6,2.59,UY,1675222066
18,ancud,-41.8697,-73.8203,11.01,83,1,1.45,CL,1675222067
19,ribeira grande,38.5167,-28.7,12.1,82,96,3.13,PT,1675222067
20,ola,59.5833,151.2833,-12.14,93,100,2.27,RU,1675221488
21,hilo,19.7297,-155.09,24.04,95,40,3.6,US,1675221469
22,butaritari,3.0707,172.7902,26.79,79,100,7.53,KI,1675222067
23,vila velha,-20.3297,-40.2925,24.97,83,20,2.06,BR,1675222068
24,mataura,-46.1927,168.8643,23.24,63,100,1.72,NZ,1675222068
25,torbay,47.6666,-52.7314,0.88,95,100,5.66,CA,1675222068
26,hermanus,-34.4187,19.2345,18.22,93,3,0.81,ZA,1675222069
27,bluff,-46.6,168.3333,17.19,87,100,2.61,NZ,1675222069
28,capoterra,39.1763,8.9718,6.96,86,0,2.57,IT,1675222069
29,cidreira,-30.1811,-50.2056,23.77,92,0,2.34,BR,1675221926
30,charters towers,-20.1,146.2667,31.05,55,100,4.31,AU,1675222070
31,carnarvon,-24.8667,113.6333,28.28,63,31,6.49,AU,1675222070
32,vostochnyy,55.8167,37.8667,0.21,94,100,2.96,RU,1675222070
33,nikolskoye,59.7035,30.7861,-0.05,91,99,3.77,RU,1675222071
34,sombrio,-29.1139,-49.6167,22.74,92,14,1.53,BR,1675222071
35,bantry,51.6833,-9.45,9.32,78,100,6.74,IE,1675221656
36,khatanga,71.9667,102.5,-42.54,100,64,1.38,RU,1675222071
37,saldanha,-33.0117,17.9442,16.03,92,0,5.79,ZA,1675222072
38,vaini,-21.2,-175.2,28.09,83,75,4.12,TO,1675222072
39,sinnamary,5.3833,-52.95,23.58,90,91,1.37,GF,1675222072
40,venado tuerto,-33.7456,-61.9688,24.87,45,3,3.59,AR,1675222073
41,georgetown,5.4112,100.3354,28.97,74,20,2.57,MY,1675221474
42,altay,47.8667,88.1167,-8.95,62,100,2.19,CN,1675222073
43,hobart,-42.8794,147.3294,18.48,60,75,2.06,AU,1675222005
44,san patricio,28.017,-97.5169,3.93,83,100,6.07,US,1675222073
45,aksu,41.1231,80.2644,-8.9,82,100,0.44,CN,1675222074
46,hambantota,6.1241,81.1185,26.19,94,20,2.57,LK,1675222074
